price,price_per_sqft,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price_band
2384000.0,653.1506849315068,5.0,2.5,3650,9050,2.0,0,4,5,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,USA,"$2,000,000–$3,000,000"
1400000.0,479.45205479452056,4.0,2.5,2920,4000,1.5,0,0,5,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
1200000.0,412.37113402061857,5.0,2.75,2910,9480,1.5,0,0,3,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
1395000.0,347.8802992518703,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,1971,0,3930 NE Belvoir Pl,Seattle,WA 98105,USA,"$1,184,050–$1,500,000"
2280000.0,168.38995568685377,7.0,8.0,13540,307752,3.0,0,4,3,9410,4130,1999,0,26408 NE 70th St,Redmond,WA 98053,USA,"$2,000,000–$3,000,000"
1425000.0,641.8918918918919,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,2000,0,1857 41st Ave E,Seattle,WA 98112,USA,"$1,184,050–$1,500,000"
1225000.0,351.0028653295129,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,1928,0,2560 39th Ave W,Seattle,WA 98199,USA,"$1,184,050–$1,500,000"
1580000.0,420.21276595744683,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,1950,0,5650 NE 55th St,Seattle,WA 98105,USA,"$1,500,000–$2,000,000"
1870000.0,414.6341463414634,5.0,4.0,4510,15175,2.0,0,0,3,4510,0,1969,2002,8300 SE 82nd St,Mercer Island,WA 98040,USA,"$1,500,000–$2,000,000"
1800000.0,400.89086859688194,5.0,5.0,4490,10279,2.0,0,0,3,3930,560,2013,1923,1435 104th Ave SE,Bellevue,WA 98004,USA,"$1,500,000–$2,000,000"
3200000.0,515.2979066022544,7.0,4.5,6210,8856,2.5,0,2,5,4760,1450,1910,0,1230 Warren Ave N,Seattle,WA 98109,USA,"$3,000,000–$5,000,000"
1500000.0,421.34831460674155,6.0,2.5,3560,6480,2.5,0,0,4,3560,0,1914,1945,903 22nd Ave E,Seattle,WA 98112,USA,"$1,500,000–$2,000,000"
